LocationName|PermitNumber|LocationGridRef|X|Y|LATITUDE|LONGITUDE|ReceivingWaterCourse|AlertStatus|AlertPast48Hours|MostRecentDischargeAlertStart|MostRecentDischargeAlertStop
Deptford Creek Storm|TEMP.2540|TQ374770|537400|177000|51.475283540995|-0.0229679038995891|River Ravensbourne / Deptford Creek|Offline|False|None|None
Deptford Storm Relief|CSAB.0536|TQ37427807|537420|178070|51.4848938523416|-0.0222641789997755|River Thames|Not discharging|False|2023-03-31T19:32:00|2023-03-31T23:44:00
Didcot|CATM.3651|SU52059140|452050|191400|51.6190250223464|-1.24959120818012|Moor Ditch|Discharging|True|2023-03-31T07:15:00|None
District Road|TEMP.2551|TQ18018510|518010|185100|51.5524551971606|-0.299312732693112|Wembley Brook|Not discharging|False|2022-12-23T09:15:00|2022-12-23T09:45:00
Dorchester|TEMP.2542|SU58019374|458010|193740|51.6394808243668|-1.16312801837745|River Thame|Not discharging|None|None|None
Dorking|CASM.1027|TQ17745056|517740|150560|51.2420762797332|-0.314653058286689|River Mole|Not discharging|True|2023-04-02T11:00:00|2023-04-02T22:45:00
Dorking Road|TEMP.0844|TQ229548|522900|154800|51.2790964167178|-0.239312689974309|Buckland Brook|Offline|False|None|None
Dorton|TEMP.2544|SP68441420|468440|214200|51.8222411135862|-1.00841663505672|Dorton Brook|Not discharging|False|2023-04-01T16:00:00|2023-04-01T19:30:00
Draycot Foliat|TEMP.0856|SU187777|418700|177700|51.49793400081|-1.73200881957909|River Ray|Offline|False|None|None
Drayton (Oxon)|CNTD.0030|SU48309332|448300|193320|51.6366205224924|-1.30348717607416|Ginge Brook|Discharging|True|2023-03-31T09:45:00|None
Duntshill Road|TEMP.2555|TQ25807307|525800|173070|51.442660409738|-0.191299445370389|River Wandle|Not discharging|None|None|None
Earl|CSAB.0533|TQ36727897|536720|178970|51.4931509103425|-0.0319909490253022|River Thames|Not discharging|False|2023-03-31T15:15:00|2023-04-01T01:00:00
Earlswood (Reigate)|CASM.0827|TQ27244801|527240|148010|51.2171207691814|-0.179532723170773|Earlswood Brook|Not discharging|False|2023-03-31T02:45:00|2023-04-02T02:45:00
Earlswood Common, S Of Pendleton Road|TEMP.2575|TQ269486|526900|148600|51.2224989186387|-0.184189658967523|Redhill Brook|Not discharging|False|2022-12-23T08:45:00|2022-12-23T10:45:00
East Garston|TEMP.0882|SU367764|436700|176400|51.4853671593341|-1.47285320359333|River Lambourn|Not discharging|False|2023-02-11T16:04:00|2023-02-11T16:08:00
East Grafton|CNTD.0031|SU25896096|425890|160960|51.347135914643|-1.62965284112501|River Dun|Offline|False|None|None
East Shefford|CNTD.0032|SU39377449|439370|174490|51.4680151939385|-1.43461515942876|River Lambourne|Not discharging|None|None|None
Eastcote Avenue|TEMP.2580|TQ18378470|518370|184700|51.5487848991723|-0.294257320451304|Wembley Brook|Not discharging|None|None|None
Easthampstead Park|TEMP.2561|SU84076641|484070|166410|51.3905133980362|-0.793135797060794|Emm Brook|Not discharging|False|2023-03-31T20:30:00|2023-04-01T23:30:00
Elmcroft Avenue, Wanstead|CANM.0910|TQ4140089300|541400|189300|51.5848233393122|0.0395234842775225|River Roding|Not discharging|False|2022-08-17T15:15:00|2022-08-17T16:45:00
Elvetham Close|TEMP.0917|SU804551|480400|155100|51.289368880029|-0.848419523419438|Basingstoke Canal|Not discharging|False|2023-02-11T10:15:00|2023-02-11T11:00:00
Epping|CSSC.0295|TL47810038|547810|200380|51.682734013832|0.136649636990192|Brookhouse Brook|Discharging|True|2023-03-26T09:45:00|None
Epsom Storm Tanks, Longmead Road|TEMP.2567|TQ211621|521100|162100|51.3450911489011|-0.262630869802221|Green Lanes Stream|Offline|False|None|None
Esher|CTCR.0753|TQ13036598|513030|165980|51.381625359389|-0.377216324402379|River Mole|Discharging|True|2023-04-04T07:45:00|None
Essendon, Holywell Bridge|TEMP.0924|TL276097|527600|209700|51.7714392552827|-0.152096044339383|River Lea|Not discharging|False|2023-01-12T08:45:00|2023-01-12T14:15:00
Eydon|CSSC.1370|SP54515019|454510|250190|52.1473157800811|-1.20479410385643|Ashby Brook|Not discharging|True|2023-03-30T18:15:00|2023-04-03T11:45:00
Fairford|CATM.3518|SP15660038|415660|200380|51.7019471139209|-1.7747959810704|River Coln|Discharging|True|2023-03-19T06:30:00|None
Falcon Brook|CSAB.0557|TQ26487602|526480|176020|51.4690207592956|-0.180466553155505|River Thames|Not discharging|False|2023-03-31T20:30:00|2023-03-31T23:15:00
Faringdon|CSSC.2343|SU27949651|427940|196510|51.6666775663356|-1.59741406800844|Faringdon Stream|Not discharging|True|2023-04-03T19:30:00|2023-04-03T20:00:00
Farnborough (Warks)|CSSC.1369|SP42814946|442810|249460|52.1417815250513|-1.37585986425193|Tributary of Hanwell Brook|Discharging|True|2023-03-29T05:45:00|None
Farnham|TEMP.2589|SU85684801|485680|148010|51.2248625188765|-0.774416202502813|Tributary of Farnham Park|Not discharging|False|2023-04-01T15:00:00|2023-04-01T17:45:00
Fergusson Road, Banbury|TEMP.2606|SP46114115|446110|241150|52.0668104180206|-1.32876458780672|Tributary of River Cherwell|Not discharging|False|None|None
Field End Rd Storm (Harrow)|TEMP.2592|TQ12358574|512350|185740|51.5593617077761|-0.380707800187304|Yeading Brook East|Not discharging|False|2022-11-03T06:45:00|2022-11-03T10:15:00
Finstock|TEMP.2594|SP36811696|436810|216960|51.8500276610088|-1.46700889555297|River Evenlode|Not discharging|False|2023-03-31T13:45:00|2023-04-02T00:00:00
Fleet|CTCR.1836|SU80505650|480500|156500|51.3019407132188|-0.846670525259886|Fleet Brook|Discharging|True|2023-04-04T10:15:00|None
Fleet Main Line Sewer|CSAB.0541|TQ31658080|531650|180800|51.5107984706371|-0.104296286016339|River Thames|Not discharging|False|2023-03-31T19:20:00|2023-03-31T21:36:00
Folkestone Rd Tanks, East Ham|CSBC.0127|TQ44118319|544110|183190|51.5292362945749|0.0761094573015089|River Roding (Barking Creek)|Not discharging|False|2023-03-29T22:15:00|2023-03-29T23:15:00
Forest Hill|TEMP.2597|SP59100811|459100|208110|51.7685560259555|-1.14494772859762|Polecat End Ditch|Not discharging|None|None|None
Friday Street, Henley|TEMP.1003|SU763827|476300|182700|51.5380547969447|-0.901272250721693|River Thames|Not discharging|False|2023-03-31T15:54:00|2023-03-31T16:02:00
Frogmore Storm|TEMP.2599|TQ254749|525400|174900|51.4591953865844|-0.196403822584265|Bell Lane Creek|Not discharging|True|2023-04-04T01:08:00|2023-04-04T03:12:00
Fyfield (Wilts)|CNTD.0046|SU15086837|415080|168370|51.4141510374096|-1.78455113392907|River Kennet|Offline|False|None|None
Gap Road (Cemetery)|TEMP.2630|TQ25867187|525860|171870|51.4318626043046|-0.190862737609492|River Wandle|Not discharging|None|None|None
Garden Way|TEMP.2610|TQ20008450|520000|184500|51.5466434962271|-0.270828987882554|River Brent|Not discharging|False|None|None
Gascoigne Rd Storm Tanks, Beckton|CSBC.0128|TQ44708289|544700|182890|51.5263899030931|0.0844857723423754|River Roding (Barking Creek)|Not discharging|False|2023-02-15T01:00:00|2023-02-15T01:30:00
Gerrards Cross|TEMP.2613|TQ01948761|501940|187610|51.5781453674955|-0.530277806489703|River Misbourne|Discharging|True|2023-03-24T15:45:00|None
Godalming|TEMP.2614|SU99374572|499370|145720|51.2020611185712|-0.579064809456814|River Wey|Not discharging|False|2023-01-16T14:15:00|2023-01-17T00:30:00
Gordon Road|TEMP.2637|TQ43578548|543570|185480|51.5499506114496|0.0692634603449575|River Roding|Not discharging|False|2022-08-17T15:30:00|2022-08-17T16:00:00
Goring|TEMP.2616|SU59898264|459890|182640|51.5394917679684|-1.13785503154258|River Thames|Not discharging|None|None|None
Goswell Street|CSAB.0543|TQ32458068|532450|180680|51.5095333062949|-0.0928200503835668|River Thames|Not discharging|False|2023-03-04T11:54:00|2023-03-04T12:14:00
Great Bedwyn|TEMP.2619|SU28366490|428360|164900|51.3824448198762|-1.59387599683297|Kennet & Avon Canal|Not discharging|False|2023-04-01T21:54:00|2023-04-01T22:02:00
Greatworth|CSSC.7686|SP54944212|454940|242120|52.0747268301339|-1.19981004951184|Tributary of Farthinghoe Stream|Not discharging|False|2022-11-23T20:15:00|2022-11-23T21:15:00
Greenwich|CSAB.0537|TQ38197794|538190|177940|51.4835382125053|-0.0112326051053905|River Thames|Not discharging|False|2023-03-10T10:30:00|2023-03-10T18:15:00
Grendon Underwood|TEMP.2626|SP67992115|467990|221150|51.8847735919625|-1.01357976521782|River Ray|Not discharging|False|2023-04-02T11:00:00|2023-04-02T11:30:00
Guildford|CTCR.1107|TQ00405185|500400|151850|51.2569841314687|-0.562611398704681|River Wey|Not discharging|False|2023-01-17T20:04:00|2023-01-17T23:38:00
Gun Wharf (Wapping Dock)|CSAB.0548|TQ35028013|535020|180130|51.5039831671621|-0.0560200627144039|River Thames|Not discharging|None|None|None
Haddenham|CSSC.2316|SP74410752|474410|207520|51.761429883121|-0.923245250480642|Scotsgrove Brook|Not discharging|False|2023-01-18T08:45:00|2023-01-19T02:00:00
Hadham Mill|TEMP.1074|TL428178|542800|217800|51.840551389159|0.0713847806393107|River Ash|Not discharging|False|2023-03-31T13:45:00|2023-04-01T16:15:00
Hambleden|CAWM.0193|SU786848|478600|184800|51.5566179174153|-0.867648403326956|River Thames|Not discharging|False|None|None
